code,province,weight
B760,LU,549
B762,TO,795
B765,AL,327
B763,LC,1451
B766,RC,2357
B767,VC,1098
B768,VC,1133
B769,AL,433
B771,KR,676
B774,CS,8250
B772,SS,721
B776,AV,1404
B778,CO,4503
B777,TO,9353
B779,CE,7104
B780,PA,38627
B781,CE,7268
B782,VC,832
B783,TN,968
B784,FG,946
B785,CO,3165
B787,SR,17768
B788,UD,2783
B789,CI,6211
B790,CZ,1515
B791,TO,29131
B792,LE,12166
B794,PO,14458
B795,PD,7614
B798,MB,7278
B796,VA,6711
B799,BZ,3361
B802,CS,3374
B801,BG,4691
B805,VA,17713
B803,BG,326
B804,ME,3339
B807,VA,4910
B808,TA,7042
B810,IS,1352
B813,CS,251
B812,PC,7718
B809,BR,16858
B814,IM,163
B816,PU,1686
B817,BS,12957
B818,AL,967
B820,MI,4123
B819,MO,71060
B822,LE,3783
B823,NO,2521
B825,RE,4011
B824,PV,4904
B828,RM,4448
B827,PE,647
B826,CH,597
B830,IS,1150
B829,FG,4139
B832,MS,62737
B836,AL,84
B835,VI,3647
B838,SP,541
B839,SP,493
B840,AL,504
B841,CN,4472
B844,VI,3780
B842,AQ,5381
B845,CN,197
B847,AL,755
B846,PU,7895
B848,PD,4637
B850,MI,15267
B851,CO,6478
B853,CH,628
B854,BG,4638
B856,TN,511
B857,KR,2677
B858,CB,2122
B859,CH,1307
B860,CE,13613
B861,CH,911
B862,FR,561
B864,NO,968
B865,CH,6129
B866,AV,1791
B867,TO,1920
B868,SA,1176
B869,CR,3907
B870,AL,1250
B871,CB,549
B872,CE,21487
B873,BN,1339
B875,VA,2690
B877,PD,4847
B876,VB,3448
B878,PI,1101
B879,TV,12995
B880,BO,36466
B881,CR,1874
B882,AL,370
B885,AL,34246
B883,NO,929
B886,VR,5766
B887,LO,2927
B888,SA,1398
B889,CR,1172
B890,CR,557
B891,CR,1773
B892,BO,3452
B893,RE,19215
B894,CN,1470
B895,SA,5258
B896,CH,3045
B898,CR,15376
B897,NO,1553
B899,LO,3164
B902,AL,961
B903,CS,5415
B901,MN,2242
B905,NA,49589
B904,FG,1535
B900,CR,1635
B906,PZ,278
B910,LO,15208
B911,MN,1486
B907,MN,2687
B914,CR,1473
B912,PD,5361
B915,BT,14715
B916,CE,9999
B917,FG,1866
B918,ME,830
B920,NO,865
B919,FR,2679
B921,VA,1371
B922,NA,3270
B923,BA,19846
B924,NA,8301
B925,NA,14286
B927,SV,731
B929,PV,461
B928,VC,227
B932,RM,722
B934,RI,733
B933,BI,406
B935,CE,8659
B936,LE,20176
B937,LC,825
B938,MI,4081
B941,AL,139
B940,PN,8431
B939,GE,6920
B942,CO,484
B943,LC,12973
B945,PV,892
B948,PG,3181
B946,NA,18737
B947,BG,4091
B949,VA,3795
B950,PI,45361
B952,VC,318
B954,PV,2485
B955,TO,3049
B953,TO,1545
B959,SA,1949
B958,LO,3030
B956,GE,3133
B961,LO,1556
B962,FI,50515
B960,TO,19180
B963,CE,76126
B965,TV,11318
B966,RC,761
B967,RE,4522
B968,KR,992
B969,BO,3409
B971,BG,4096
B974,CO,1691
B977,CO,4940
B978,BG,3233
B979,MS,1011
B980,NA,3870
B982,RA,2650
B983,CS,2562
B984,SI,3892
B987,VA,5696
B985,CH,5640
B988,PV,8750
B989,MI,5467
B991,AT,627
B990,NA,77319
B993,SO,1393
B994,UD,2914
B996,LC,4379
B998,BA,14776
B997,AV,975
B999,VA,669
C003,MI,18911
C002,CS,18355
C004,VA,21641
C006,SR,800
C005,AL,1683
C013,MI,11198
C024,LC,478
C020,CO,3324
C022,AT,589
C014,MI,13765
C007,BG,112
C027,AL,2974
C030,AL,925
